nr.,book,starts on line,ends on line,speaker,speech/this speaker,mortal/god,anonymous?,disguise?,length,dialogue?,addressee,battle exhortation (ch. 2)
47,2,246,264,Odysseus,4 of 27,mortal,,,19,second part of dialogue,Thersites,
48,2,272,277,Greeks,1 of 1,mortal,collective,,6,third part of dialogue,Greeks,
49,2,284,332,Odysseus,5 of 27,mortal,,,49,first part of dialogue,Greeks,
50,2,337,368,Nestor,3 of 33,mortal,,,32,second part of dialogue,Greeks,
51,2,370,393,Agamemnon,9 of 47,mortal,,,24,third part of dialogue,Greeks,type 1: general to troops
52,2,412,418,Agamemnon,10 of 47,mortal,,,7,soliloquy,Zeus (prayer),
53,2,434,440,Nestor,4 of 33,mortal,,,7,single speech,Agamemnon,
54,2,796,806,Iris,1 of 12,god,,Polites,11,single speech,Priamus,
55,3,39,57,Hector,1 of 49,mortal,,,19,first part of dialogue,Paris,
56,3,59,75,Paris,1 of 7,mortal,,,17,second part of dialogue,Hector,
57,3,82,83,Agamemnon,11 of 47,mortal,,,2,first part of dialogue,Greeks and Trojans,also in Fingerle's Feldhernreden
58,3,86,94,Hector,2 of 49,mortal,,,9,second part of dialogue,Greeks and Trojans,also in Fingerle's Feldhernreden
59,3,97,110,Menelaos,1 of 22,mortal,,,14,third part of dialogue,Greeks and Trojans,also in Fingerle's Feldhernreden
60,3,130,138,Iris,2 of 12,god,,Laodice,9,single speech,Helena,
61,3,156,160,Trojan old men,1 of 1,mortal,collective,,5,single speech,Trojan old men,
62,3,162,170,Priamus,1 of 25,mortal,,,9,first part of dialogue,Helena,also in Fingerle's Feldhernreden
63,3,172,180,Helena,1 of 7,mortal,,,9,second part of dialogue,Priamus,
64,3,182,190,Priamus,2 of 25,mortal,,,9,third part of dialogue,Helena,
65,3,192,198,Priamus,3 of 25,mortal,,,7,fourth part of dialogue,Helena,
66,3,200,202,Helena,2 of 7,mortal,,,3,fifth part of dialogue,Priamus,
67,3,204,224,Antenor,1 of 2,mortal,,,21,sixth part of dialogue,Helena,
68,3,226,227,Priamus,4 of 25,mortal,,,2,seventh part of dialogue,Helena,
69,3,229,242,Helena,3 of 7,mortal,,,14,eighth part of dialogue,Priamus,
70,3,250,258,Idaeus,1 of 4,mortal,,,9,single speech,Priamus,
71,3,276,291,Agamemnon,12 of 47,mortal,,,16,soliloquy,Zeus (prayer),
72,3,298,301,Someone,1 of 1,mortal,yes,,4,soliloquy,Zeus (prayer),
73,3,304,309,Priamus,5 of 25,mortal,,,6,single speech,Greeks and Trojans,
74,3,320,323,Someone,1 of 1,mortal,yes,,4,soliloquy,Zeus (prayer),
75,3,351,354,Menelaos,2 of 22,mortal,,,4,soliloquy,Zeus (prayer),
76,3,365,368,Menelaos,3 of 22,mortal,,,4,soliloquy,Zeus (prayer),
77,3,390,394,Aphrodite,1 of 7,god,,old woman,5,first part of dialogue,Helena,
78,3,399,412,Helena,4 of 7,mortal,,,14,second part of dialogue,Aphrodite,
79,3,414,417,Aphrodite,2 of 7,god,,,4,third part of dialogue,Helena,
80,3,428,436,Helena,5 of 7,mortal,,,9,first part of dialogue,Paris,
81,3,438,446,Paris,2 of 7,mortal,,,9,second part of dialogue,Helena,
82,3,456,460,Agamemnon,13 of 47,mortal,,,5,single speech,Greeks and Trojans,also in Fingerle's Feldhernreden
83,4,7,19,Zeus,5 of 39,god,,,13,first part of dialogue,gods,
84,4,25,29,Hera,4 of 31,god,,,5,second part of dialogue,Zeus,
85,4,31,49,Zeus,6 of 39,god,,,19,third part of dialogue,Hera,
86,4,51,67,Hera,5 of 31,god,,,17,fourth part of dialogue,Zeus,
87,4,70,72,Zeus,7 of 39,god,,,3,fifth part of dialogue,Athena,also in Fingerle's Kampfaurufe
88,4,82,84,Someone,1 of 1,mortal,yes,,3,single speech,someone,
89,4,93,103,Athena,3 of 20,god,,Laodocus,11,single speech,Pandarus,type 2: god to mortals
90,4,155,182,Agamemnon,14 of 47,mortal,,,28,first part of dialogue,Menelaos,
91,4,184,187,Menelaos,4 of 22,mortal,,,4,second part of dialogue,Agamemnon,
92,4,189,191,Agamemnon,15 of 47,mortal,,,3,third part of dialogue,Menelaos,
93,4,193,197,Agamemnon,16 of 47,mortal,,,5,fourth part of dialogue,Talthybius,
94,4,204,207,Talthybius,1 of 1,mortal,,,4,single speech,Machaon,
95,4,234,239,Agamemnon,17 of 47,mortal,,,6,single speech,Greeks,type 1: general to troops
96,4,242,249,Agamemnon,18 of 47,mortal,,,8,single speech,Greeks,type 1: general to troops
97,4,257,264,Agamemnon,19 of 47,mortal,,,8,first part of dialogue,Idomeneus,type 3: general to individual
98,4,266,271,Idomeneus,1 of 12,mortal,,,6,second part of dialogue,Agamemnon,
99,4,285,291,Agamemnon,20 of 47,mortal,,,7,single speech,Aias and Aias,exhortative?
100,4,303,309,Nestor,5 of 33,mortal,,,7,first part of dialogue,Greeks,type 1: general to troops
101,4,313,316,Agamemnon,21 of 47,mortal,,,4,second part of dialogue,Nestor,
102,4,318,325,Nestor,6 of 33,mortal,,,8,third part of dialogue,Agamemnon,
103,4,338,348,Agamemnon,22 of 47,mortal,,,11,first part of dialogue,Menestheus,type 3: general to individual
104,4,350,355,Odysseus,6 of 27,mortal,,,6,second part of dialogue,Agamemnon,
105,4,358,363,Agamemnon,23 of 47,mortal,,,6,third part of dialogue,Odysseus,
106,4,370,400,Agamemnon,24 of 47,mortal,,,31,first part of dialogue,Diomedes,type 3: general to individual
107,4,404,410,Sthenelus,1 of 2,mortal,,,7,second part of dialogue,Agamemnon,
108,4,412,418,Diomedes,1 of 26,mortal,,,7,third part of dialogue,Sthenelus,type 3: general to individual
109,4,509,513,Apollo,1 of 18,god,,,5,single speech,Trojans,type 2: god to mortals
110,5,31,34,Athena,4 of 20,god,,,4,single speech,Ares,
111,5,102,105,Pandarus,1 of 5,mortal,,,4,single speech,Trojans,
112,5,109,110,Diomedes,2 of 26,mortal,,,2,first part of dialogue,Sthenelus,
113,5,115,120,Diomedes,3 of 26,mortal,,,6,second part of dialogue,Athena,
114,5,124,132,Athena,5 of 20,god,,,9,third part of dialogue,Diomedes,type 2: god to mortals
115,5,171,178,Aeneas,1 of 6,mortal,,,8,first part of dialogue,Pandarus,type 3: general to individual
116,5,180,216,Pandarus,2 of 5,mortal,,,37,second part of dialogue,Aeneas,
117,5,218,228,Aeneas,2 of 6,mortal,,,11,third part of dialogue,Pandarus,
118,5,230,238,Pandarus,3 of 5,mortal,,,9,fourth part of dialogue,Aeneas,
119,5,243,250,Sthenelus,2 of 2,mortal,,,8,first part of dialogue,Diomedes,
120,5,252,273,Diomedes,4 of 26,mortal,,,22,second part of dialogue,Sthenelus,
121,5,277,279,Pandarus,4 of 5,mortal,,,3,first part of dialogue,Diomedes,
122,5,284,285,Pandarus,5 of 5,mortal,,,2,second part of dialogue,Diomedes,
123,5,287,289,Diomedes,5 of 26,mortal,,,3,third part of dialogue,Pandarus,
124,5,348,351,Diomedes,6 of 26,mortal,,,4,single speech,Aphrodite (prayer),
125,5,359,362,Aphrodite,3 of 7,god,,,4,single speech,Ares,
126,5,373,374,Dione,1 of 2,god,,,2,first part of dialogue,Aphrodite,
127,5,376,380,Aphrodite,4 of 7,god,,,5,second part of dialogue,Dione,
128,5,382,415,Dione,2 of 2,god,,,34,third part of dialogue,Aphrodite,
129,5,421,425,Athena,6 of 20,god,,,5,single speech,Zeus,
130,5,428,430,Zeus,8 of 39,god,,,3,single speech,Aphrodite,
131,5,440,442,Apollo,2 of 18,god,,,3,single speech,Diomedes,
132,5,455,459,Apollo,3 of 18,god,,,5,single speech,Ares,
133,5,464,469,Ares,1 of 4,god,,Acamas,6,single speech,Trojans,type 2: god to mortals
134,5,472,492,Sarpedon,1 of 7,mortal,,,21,single speech,Hector,
135,5,529,532,Agamemnon,25 of 47,mortal,,,4,single speech,Greeks,type 1: general to troops
136,5,601,606,Diomedes,7 of 26,mortal,,,6,single speech,Greeks,also in Fingerle's Feldhernreden
137,5,633,646,Tlepolemus,1 of 1,mortal,,,14,first part of dialogue,Sarpedon,
138,5,648,654,Sarpedon,2 of 7,mortal,,,7,second part of dialogue,Tlepolemus,
139,5,684,688,Sarpedon,3 of 7,mortal,,,5,single speech,Hector,
140,5,714,718,Hera,6 of 31,god,,,5,single speech,Athena,type 4: other
141,5,757,763,Hera,7 of 31,god,,,7,first part of dialogue,Zeus,
142,5,765,766,Zeus,9 of 39,god,,,2,second part of dialogue,Hera,
143,5,787,791,Hera,8 of 31,god,,Stentor,5,single speech,Greeks,type 2: god to mortals
144,5,800,813,Athena,7 of 20,god,,,14,first part of dialogue,Diomedes,type 2: god to mortals
145,5,815,824,Diomedes,8 of 26,mortal,,,10,second part of dialogue,Athena,
146,5,826,834,Athena,8 of 20,god,,,9,third part of dialogue,Diomedes,
147,5,872,887,Ares,2 of 4,god,,,16,first part of dialogue,Zeus,
148,5,889,898,Zeus,10 of 39,god,,,10,second part of dialogue,Ares,
149,6,46,50,Adrastus,1 of 1,mortal,,,5,first part of dialogue,Menelaos,
150,6,55,60,Agamemnon,26 of 47,mortal,,,6,second part of dialogue,Menelaos,
151,6,67,71,Nestor,7 of 33,mortal,,,5,single speech,Greeks,type 1: general to troops
152,6,77,101,Helenus,1 of 2,mortal,,,25,single speech,Hector,
153,6,111,115,Hector,3 of 49,mortal,,,5,single speech,Trojans,type 1: general to troops
154,6,123,143,Diomedes,9 of 26,mortal,,,21,first part of dialogue,Glaucus,
155,6,145,211,Glaucus,1 of 4,mortal,,,67,second part of dialogue,Diomedes,
156,6,215,231,Diomedes,10 of 26,mortal,,,17,third part of dialogue,Glaucus,
157,6,254,262,Hecabe,1 of 6,mortal,,,9,first part of dialogue,Hector,
158,6,264,285,Hector,4 of 49,mortal,,,22,second part of dialogue,Hecabe,
159,6,305,310,Theano,1 of 1,mortal,,,6,soliloquy,Athena (prayer),
160,6,326,331,Hector,5 of 49,mortal,,,6,first part of dialogue,Paris,
161,6,333,341,Paris,3 of 7,mortal,,,9,second part of dialogue,Hector,
162,6,344,358,Helena,6 of 7,mortal,,,15,third part of dialogue,Hector,
163,6,360,368,Hector,6 of 49,mortal,,,9,fourth part of dialogue,Athena,
164,6,376,380,Hector,7 of 49,mortal,,,5,first part of dialogue,servant,
165,6,382,389,female servant,1 of 1,mortal,yes,,8,second part of dialogue,Hector,
166,6,407,439,Andromache,1 of 4,mortal,,,33,first part of dialogue,Hector,
167,6,441,465,Hector,8 of 49,mortal,,,25,second part of dialogue,Andromache,
168,6,476,481,Hector,9 of 49,mortal,,,6,soliloquy,Zeus (prayer),
169,6,486,493,Hector,10 of 49,mortal,,,8,third part of dialogue,Andromache,
170,6,518,519,Paris,4 of 7,mortal,,,2,first part of dialogue,Hector,
171,6,521,529,Hector,11 of 49,mortal,,,9,second part of dialogue,Paris,
172,7,24,32,Apollo,4 of 18,god,,,9,first part of dialogue,Athena,
173,7,34,36,Athena,9 of 20,god,,,3,second part of dialogue,Apollo,
174,7,38,42,Apollo,5 of 18,god,,,5,third part of dialogue,Athena,
175,7,47,53,Helenus,2 of 2,mortal,,,7,single speech,Hector,
176,7,67,91,Hector,12 of 49,mortal,,,25,first part of dialogue,Greeks and Trojans,also in Fingerle's Feldhernreden
177,7,96,102,Menelaos,5 of 22,mortal,,,7,second part of dialogue,Greeks,
178,7,109,119,Agamemnon,27 of 47,mortal,,,11,third part of dialogue,Menelaos,
179,7,124,160,Nestor,8 of 33,mortal,,,37,fourth part of dialogue,Greeks,
180,7,171,174,Nestor,9 of 33,mortal,,,4,fifth part of dialogue,Greeks,
181,7,179,180,Someone,1 of 1,mortal,yes,,2,soliloquy,Zeus (prayer),
182,7,191,199,Aias (son of Telamon),1 of 19,mortal,,,9,sixth part of dialogue,Greeks,
183,7,202,205,Someone,1 of 1,mortal,yes,,4,soliloquy,Zeus (prayer),
184,7,226,232,Aias (son of Telamon),2 of 19,mortal,,,7,seventh part of dialogue,Hector,
185,7,234,243,Hector,13 of 49,mortal,,,10,eighth part of dialogue,Aias (son of Telamon),
186,7,279,282,Idaeus,2 of 4,mortal,,,4,ninth part of dialogue,Aias (son of Telamon) and Hector,
187,7,284,286,Aias (son of Telamon),3 of 19,mortal,,,3,tenth part of dialogue,Idaeus,
188,7,288,302,Hector,14 of 49,mortal,,,15,eleventh part of dialogue,Aias (son of Telamon),
189,7,327,343,Nestor,10 of 33,mortal,,,17,single speech,Greeks,
190,7,348,353,Antenor,2 of 2,mortal,,,6,first part of dialogue,Trojans,
191,7,357,364,Paris,5 of 7,mortal,,,8,second part of dialogue,Antenor,
192,7,368,378,Priamus,6 of 25,mortal,,,11,third part of dialogue,Trojans,
193,7,385,397,Idaeus,3 of 4,mortal,,,13,first part of dialogue,Greeks,
194,7,400,402,Diomedes,11 of 26,mortal,,,3,second part of dialogue,Greeks,
195,7,406,411,Agamemnon,28 of 47,mortal,,,6,third part of dialogue,Idaeus,
196,7,446,453,Poseidon,1 of 16,god,,,8,first part of dialogue,Zeus,
197,7,455,463,Zeus,11 of 39,god,,,9,second part of dialogue,Zeus,
198,8,5,27,Zeus,12 of 39,god,,,23,first part of dialogue,gods,
199,8,31,37,Athena,10 of 20,god,,,7,second part of dialogue,Zeus,
200,8,39,40,Zeus,13 of 39,god,,,2,third part of dialogue,Athena,
201,8,93,96,Diomedes,12 of 26,mortal,,,4,single speech,Odysseus,type 4: other
202,8,102,111,Diomedes,13 of 26,mortal,,,10,single speech,Nestor,
203,8,139,144,Nestor,11 of 33,mortal,,,6,first part of dialogue,Diomedes,
204,8,146,150,Diomedes,14 of 26,mortal,,,5,second part of dialogue,Nestor,
205,8,152,156,Nestor,12 of 33,mortal,,,5,third part of dialogue,Diomedes,
206,8,161,166,Hector,15 of 49,mortal,,,6,fourth part of dialogue,Diomedes,
207,8,173,183,Hector,16 of 49,mortal,,,11,single speech,Trojans,type 1: general to troops
208,8,185,197,Hector,17 of 49,mortal,,,13,single speech,Horses,exhortative?
209,8,201,207,Hera,9 of 31,god,,,7,first part of dialogue,Poseidon,
210,8,209,211,Poseidon,2 of 16,god,,,3,second part of dialogue,Hera,
211,8,228,244,Agamemnon,29 of 47,mortal,,,17,single speech,Greeks,type 1: general to troops
212,8,281,291,Agamemnon,30 of 47,mortal,,,11,first part of dialogue,Teucrus,type 3: general to individual
213,8,293,299,Teucrus,1 of 2,mortal,,,7,second part of dialogue,Agamemnon,
214,8,352,356,Hera,10 of 31,god,,,5,first part of dialogue,Athena,
215,8,358,380,Athena,11 of 20,god,,,23,second part of dialogue,Hera,
216,8,399,408,Zeus,14 of 39,god,,,10,single speech,Iris,
217,8,413,424,Iris,3 of 12,god,,,12,first part of dialogue,Hera and Athena,
218,8,427,431,Hera,11 of 31,god,,,5,second part of dialogue,Athena,
219,8,447,456,Zeus,15 of 39,god,,,10,first part of dialogue,Hera and Athena,
220,8,462,468,Hera,12 of 31,god,,,7,second part of dialogue,Zeus,
221,8,470,483,Zeus,16 of 39,god,,,14,third part of dialogue,Hera,
222,8,497,541,Hector,18 of 49,mortal,,,45,single speech,Trojans,type 1: general to troops
223,9,17,28,Agamemnon,31 of 47,mortal,,,12,first part of dialogue,Greeks,
224,9,32,49,Diomedes,15 of 26,mortal,,,18,second part of dialogue,Agamemnon,
225,9,53,78,Nestor,14 of 33,mortal,,,26,third part of dialogue,Agamemnon and Diomedes,
226,9,96,113,Nestor,15 of 33,mortal,,,18,fourth part of dialogue,Greeks,
227,9,115,161,Agamemnon,32 of 47,mortal,,,47,fifth part of dialogue,Nestor,
228,9,163,172,Nestor,16 of 33,mortal,,,10,sixth part of dialogue,Agamemnon,
229,9,197,198,Achilles,12 of 87,mortal,,,2,first part of dialogue,embassey,
230,9,202,204,Achilles,13 of 87,mortal,,,3,second part of dialogue,Patroclus,
231,9,225,306,Odysseus,7 of 27,mortal,,,82,third part of dialogue,Achilles,
232,9,308,429,Achilles,14 of 87,mortal,,,122,fourth part of dialogue,Odysseus,
233,9,434,605,Phoinix,1 of 1,mortal,,,172,fifth part of dialogue,Achilles,
234,9,607,619,Achilles,15 of 87,mortal,,,13,sixth part of dialogue,Phoinix,
235,9,624,642,Aias (son of Telamon),4 of 19,mortal,,,19,seventh part of dialogue,Odysseus,
236,9,644,655,Achilles,16 of 87,mortal,,,12,eighth part of dialogue,Aias (son of Telamon),
237,9,673,675,Agamemnon,33 of 47,mortal,,,3,first part of dialogue,Odysseus,
238,9,677,692,Odysseus,8 of 27,mortal,,,16,second part of dialogue,Agamemnon,
239,9,697,709,Diomedes,16 of 26,mortal,,,13,third part of dialogue,Agamemnon,
240,10,37,41,Menelaos,6 of 22,mortal,,,5,first part of dialogue,Agamemnon,
241,10,43,59,Agamemnon,34 of 47,mortal,,,17,second part of dialogue,Menelaos,
242,10,61,63,Menelaos,7 of 22,mortal,,,3,third part of dialogue,Agamemnon,
243,10,65,71,Agamemnon,35 of 47,mortal,,,7,fourth part of dialogue,Menelaos,
244,10,82,85,Nestor,17 of 33,mortal,,,4,first part of dialogue,Agamemnon,
245,10,87,101,Agamemnon,36 of 47,mortal,,,15,second part of dialogue,Nestor,
246,10,103,118,Nestor,18 of 33,mortal,,,16,third part of dialogue,Agamemnon,
247,10,120,127,Agamemnon,37 of 47,mortal,,,8,fourth part of dialogue,Nestor,
248,10,129,130,Nestor,19 of 33,mortal,,,2,fifth part of dialogue,Agamemnon,
249,10,141,142,Odysseus,9 of 27,mortal,,,2,first part of dialogue,Nestor,
250,10,144,147,Nestor,20 of 33,mortal,,,4,second part of dialogue,Odysseus,
251,10,159,161,Nestor,21 of 33,mortal,,,3,first part of dialogue,Diomedes,
252,10,164,167,Diomedes,17 of 26,mortal,,,4,second part of dialogue,Nestor,
253,10,169,176,Nestor,22 of 33,mortal,,,8,third part of dialogue,Diomedes,
254,10,192,193,Nestor,23 of 33,mortal,,,2,single speech,guards,
255,10,204,217,Nestor,24 of 33,mortal,,,14,first part of dialogue,Greeks,
256,10,220,226,Diomedes,18 of 26,mortal,,,7,second part of dialogue,Nestor,
257,10,234,239,Agamemnon,38 of 47,mortal,,,6,third part of dialogue,Diomedes,
258,10,242,247,Diomedes,19 of 26,mortal,,,6,fourth part of dialogue,Agamemnon,
259,10,249,253,Odysseus,10 of 27,mortal,,,5,fifth part of dialogue,Diomedes,
260,10,278,282,Odysseus,11 of 27,mortal,,,5,soliloquy,Athena (prayer),
261,10,284,294,Diomedes,20 of 26,mortal,,,11,soliloquy,Athena (prayer),
262,10,303,312,Hector,19 of 49,mortal,,,10,first part of dialogue,Trojans,
263,10,319,327,Dolon,1 of 5,mortal,,,9,second part of dialogue,Hector,
264,10,329,331,Hector,20 of 49,mortal,,,3,third part of dialogue,Dolon,
265,10,341,348,Odysseus,12 of 27,mortal,,,8,single speech,Diomedes,
266,10,370,371,Diomedes,21 of 26,mortal,,,2,first part of dialogue,Dolon,
267,10,378,381,Dolon,2 of 5,mortal,,,4,second part of dialogue,Diomedes,
268,10,383,389,Odysseus,13 of 27,mortal,,,7,third part of dialogue,Dolon,
269,10,391,399,Dolon,3 of 5,mortal,,,9,fourth part of dialogue,Odysseus,
270,10,401,411,Odysseus,14 of 27,mortal,,,11,fifth part of dialogue,Dolon,
271,10,413,422,Dolon,4 of 5,mortal,,,10,sixth part of dialogue,Odysseus,
272,10,424,425,Odysseus,15 of 27,mortal,,,2,seventh part of dialogue,Dolon,
273,10,427,445,Dolon,5 of 5,mortal,,,19,eighth part of dialogue,Odysseus,
274,10,447,453,Odysseus,16 of 27,mortal,,,7,ninth part of dialogue,Dolon,
275,10,462,464,Odysseus,17 of 27,mortal,,,3,soliloquy,Athena (prayer),
276,10,477,481,Odysseus,18 of 27,mortal,,,5,single speech,Diomedes,
277,10,509,511,Athena,12 of 20,god,,,3,single speech,Diomedes,
278,10,533,539,Nestor,25 of 33,mortal,,,7,single speech,Greeks,
279,10,544,553,Nestor,26 of 33,mortal,,,10,first part of dialogue,Diomedes and Odysseus,
280,10,555,563,Odysseus,19 of 27,mortal,,,9,second part of dialogue,Nestor,
281,11,131,135,Pisander and Hippolochus,1 of 1,mortal,,,5,first part of dialogue,Agamemnon,
282,11,138,142,Agamemnon,39 of 47,mortal,,,5,second part of dialogue,Peisander and Hippolochus,
283,11,186,194,Zeus,17 of 39,god,,,9,single speech,Iris,
284,11,200,209,Iris,4 of 12,god,,,10,single speech,Hector,
285,11,276,279,Agamemnon,40 of 47,mortal,,,4,single speech,Greeks,type 1: general to troops
286,11,286,290,Hector,21 of 49,mortal,,,5,single speech,Trojans,type 1: general to troops
287,11,313,315,Odysseus,20 of 27,mortal,,,3,first part of dialogue,Diomedes,type 4: other
288,11,317,319,Diomedes,22 of 26,mortal,,,3,second part of dialogue,Odysseus,
289,11,347,348,Diomedes,23 of 26,mortal,,,2,single speech,Odysseus,type 4: other
290,11,362,367,Diomedes,24 of 26,mortal,,,6,single speech,Hector,
291,11,380,383,Paris,6 of 7,mortal,,,4,first part of dialogue,Diomedes,
292,11,385,395,Diomedes,25 of 26,mortal,,,11,second part of dialogue,Paris,
293,11,404,410,Odysseus,21 of 27,mortal,,,7,soliloquy,himself,
294,11,430,433,Socus,1 of 1,mortal,,,4,first part of dialogue,Odysseus,
295,11,441,445,Odysseus,22 of 27,mortal,,,5,second part of dialogue,Socus,
296,11,450,455,Odysseus,23 of 27,mortal,,,6,third part of dialogue,Socus,
297,11,465,471,Menelaos,8 of 22,mortal,,,7,single speech,Aias (son of Telamon),type 4: other
298,11,511,515,Idomeneus,2 of 12,mortal,,,5,single speech,Nestor,
299,11,523,530,Cebriones,1 of 1,mortal,,,8,single speech,Hector,type 4: other
300,11,587,591,Eurypylus,1 of 2,mortal,,,5,single speech,Greeks,type 4: other
301,11,606,606,Patroclus,1 of 12,mortal,,,1,first part of dialogue,Achilles,
302,11,608,615,Achilles,17 of 87,mortal,,,8,second part of dialogue,Patroclus,
303,11,648,654,Patroclus,2 of 12,mortal,,,7,first part of dialogue,Nestor,
304,11,656,803,Nestor,27 of 33,mortal,,,148,second part of dialogue,Patroclus,
305,11,816,821,Patroclus,3 of 12,mortal,,,6,first part of dialogue,Eurypylus,
306,11,823,836,Eurypylus,2 of 2,mortal,,,14,second part of dialogue,Patroclus,
307,11,838,841,Patroclus,4 of 12,mortal,,,4,third part of dialogue,Eurypylus,
308,12,61,79,Polydamas,1 of 5,mortal,,,19,single speech,Hector,
309,12,164,172,Asius,1 of 1,mortal,,,9,soliloquy,Zeus (prayer),
310,12,211,229,Polydamas,2 of 5,mortal,,,19,first part of dialogue,Hector,
311,12,231,250,Hector,22 of 49,mortal,,,20,second part of dialogue,Polydamas,
312,12,269,276,Aias and Aias,19 of 19/4 of 4,mortal,,,8,single speech,Greeks,type 1: general to troops
313,12,310,328,Sarpedon,4 of 7,mortal,,,19,single speech,Glaucus,type 3: general to individual
314,12,343,350,Menestheus,1 of 1,mortal,,,8,single speech,Thootes,type 4: other
315,12,354,363,Thootes,1 of 1,mortal,,,10,first part of dialogue,Aias and Aias,type 4: other
316,12,366,369,Aias (son of Telamon),5 of 19,mortal,,,4,second part of dialogue,Aias (son of Oileus),type 4: other
317,12,409,412,Sarpedon,5 of 7,mortal,,,4,single speech,Lycians,type 1: general to troops
318,12,440,441,Hector,23 of 49,mortal,,,2,single speech,Trojans,type 1: general to troops
319,13,47,58,Poseidon,3 of 16,god,,Calchas,12,first part of dialogue,Aias and Aias,type 2: god to mortals
320,13,68,75,Aias (son of Oileus),1 of 4,mortal,,,8,second part of dialogue,Aias (son of Telamon),
321,13,77,80,Aias (son of Telamon),6 of 19,mortal,,,4,third part of dialogue,Aias (son of Oileus),
322,13,95,124,Poseidon,4 of 16,god,,still Chalchas?,30,single speech,Greeks,type 2: god to mortals
323,13,150,154,Hector,24 of 49,mortal,,,5,single speech,Trojans,type 1: general to troops
